26
20151053,Natalie Lewis,Male,FINANCE,01,3000 
20161918,Chloe Christian,Male,SALES,02,3540
20161317,Emolys Evans,Male,SALES,02,2630
20151329,Sophia Allen,Male,RESEARCH,03,5680
20161787,Robert Melton,Female,PLANNING,04,3270
20161161,Siaomos Barton,Male,FINANACE,01,3370
20111559,Sebastian Henderson,Female,FINANCE,01,3090
20161185,Richard Cerney,Male,SALES,02,3700
20161754,Elizabeth Calvin,Female,RESEARCH,03,2640
20101696,Madison Frost,Male,SALES,02,3330
20091758,Emily Stevgenson,Female,PLANNING,04,3400
20161776,Navy Taylor,Male,PLANNING,04,5230
20161403,Vincent Newton,Male,RESEARCH,03,2400
20091762,Owen Ingram,Male,FINANCE,01,3110
20161442,Olyen Massey,Male,SALES,02,3730
20141039,Emma Thomas,Male,SALES,02,2730
20161341,Peter Pitts,Female,PLANNING,04,2490
20161368,Xygret Latimer,Male,RESEARCH,03,3910
20161372,Michael Grahan,Male,SALES,02,2750
20101445,Mandon Austin,Male,PLANNING,04,4890
20161176,Violet Smith,Male,FINANCE,01,3900
20101841,Samuel Davis,Male,RESEARCH,03,3180
20161162,Sam Mackey,Male,SALES,02,5750
20161555,Miguel Parr,Male,RESEARCH,03,7950
20161836,Oscar Hamersley,Male,SALES,02,6170
20141582,MeanSon King,Female,PLANNING,04,8000
